PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,IsAlone,AgeGroup
1,0,3,1,22.0,1,0,2.1102132003465894,0,4,2,0,2
2,1,1,0,38.0,1,0,4.2805931204649,1,5,2,0,3
3,1,3,0,26.0,0,0,2.188856327665703,0,1,1,1,2
4,1,1,0,35.0,1,0,3.9908341858524357,0,5,2,0,2
5,0,3,1,35.0,0,0,2.2027647577118348,0,4,1,1,2
6,0,3,1,29.69911764705882,0,0,2.246892662898172,2,4,1,1,2
7,0,1,1,54.0,0,0,3.967694202798607,0,4,1,1,3
8,0,3,1,2.0,3,1,3.0944457464900235,0,0,5,0,0
9,1,3,0,27.0,0,2,2.495953738718064,0,5,3,0,2
10,1,2,0,14.0,1,0,3.436268471383741,1,5,2,0,1
11,1,3,0,4.0,1,1,2.8735646395797834,0,1,3,0,0
12,1,1,0,58.0,0,0,3.3160025355989236,0,1,1,1,3
13,0,3,1,20.0,0,0,2.2027647577118348,0,4,1,1,2
14,0,3,1,39.0,1,5,3.4742929367327062,0,4,7,0,3
15,0,3,0,14.0,0,0,2.180891922715322,0,1,1,1,1
16,1,2,0,55.0,0,0,2.833213344056216,0,5,1,1,3
17,0,3,1,2.0,4,1,3.405355391810819,2,0,6,0,0
18,1,2,1,29.69911764705882,0,0,2.6390573296152584,0,4,1,1,2
19,0,3,0,31.0,1,0,2.9444389791664403,0,5,2,0,2
20,1,3,0,29.69911764705882,0,0,2.1071782966514356,1,5,1,1,2
21,0,2,1,35.0,0,0,3.295836866004329,0,4,1,1,2
22,1,2,1,34.0,0,0,2.6390573296152584,0,4,1,1,2
23,1,3,0,15.0,0,0,2.2004637699272855,2,1,1,1,1
24,1,1,1,28.0,0,0,3.597312260588446,0,4,1,1,2
25,0,3,0,8.0,3,1,3.0944457464900235,0,1,5,0,0
26,1,3,0,38.0,1,5,3.4777725458882283,0,5,7,0,3
27,0,3,1,29.69911764705882,0,0,2.1071782966514356,1,4,1,1,2
28,0,1,1,19.0,3,2,5.575949103146316,0,4,6,0,2
29,1,3,0,29.69911764705882,0,0,2.1837114628556327,2,1,1,1,2
30,0,3,1,29.69911764705882,0,0,2.1855792552411137,0,4,1,1,2
31,0,1,1,40.0,0,0,3.357621598945279,1,7,1,1,3
32,1,1,0,29.69911764705882,1,0,4.993969182787072,1,5,2,0,2
33,1,3,0,29.69911764705882,0,0,2.169053700369523,2,1,1,1,2
34,0,2,1,66.0,0,0,2.4423470353692043,0,4,1,1,4
35,0,1,1,28.0,1,0,4.420896324687287,1,4,2,0,2
36,0,1,1,42.0,1,0,3.970291913552122,0,4,2,0,3
37,1,3,1,29.69911764705882,0,0,2.1076888046179385,1,4,1,1,2
38,0,3,1,21.0,0,0,2.2027647577118348,0,4,1,1,2
39,0,3,0,18.0,2,0,2.9444389791664403,0,1,3,0,1
40,1,3,0,14.0,1,0,2.5048481563289,1,1,2,0,1
41,0,3,0,40.0,1,0,2.348991465808201,0,5,2,0,3
42,0,2,0,27.0,1,0,3.091042453358316,0,5,2,0,2
43,0,3,1,29.69911764705882,0,0,2.1855792552411137,1,4,1,1,2
44,1,2,0,3.0,1,2,3.7513658711253766,1,1,4,0,0
45,1,3,0,19.0,0,0,2.1837114628556327,2,1,1,1,2
46,0,3,1,29.69911764705882,0,0,2.2027647577118348,0,4,1,1,2
47,0,3,1,29.69911764705882,1,0,2.803360380906535,2,4,2,0,2
48,1,3,0,29.69911764705882,0,0,2.169053700369523,2,1,1,1,2
49,0,3,1,29.69911764705882,2,0,3.1214482048688246,1,4,3,0,2
50,0,3,0,18.0,1,0,2.9338568698359038,0,5,2,0,1
51,0,3,1,7.0,4,1,3.705920919968788,0,0,6,0,0
52,0,3,1,21.0,0,0,2.174751721484161,0,4,1,1,2
53,1,1,0,49.0,1,0,4.353230991152628,1,5,2,0,3
54,1,2,0,29.0,1,0,3.295836866004329,0,5,2,0,2
55,0,1,1,65.0,0,1,4.142804513146981,1,4,2,0,4
56,1,1,1,29.69911764705882,0,0,3.597312260588446,0,4,1,1,2
57,1,2,0,21.0,0,0,2.4423470353692043,0,1,1,1,2
58,0,3,1,28.5,0,0,2.1076888046179385,1,4,1,1,2
59,1,2,0,5.0,1,2,3.3586377672433594,0,1,4,0,0
60,0,3,1,11.0,5,2,3.8691155044168695,0,0,8,0,0
61,0,3,1,22.0,0,0,2.1076888046179385,1,4,1,1,2
62,1,1,0,38.0,0,0,4.394449154672439,0,1,1,1,3
63,0,1,1,45.0,1,0,4.436455632600354,0,4,2,0,3
64,0,3,1,4.0,3,2,3.3638415951183864,0,0,6,0,0
65,0,1,1,29.69911764705882,0,0,3.357621598945279,1,4,1,1,2
66,1,3,1,29.69911764705882,1,1,2.7878344138303452,1,0,3,0,2
67,1,2,0,29.0,0,0,2.4423470353692043,0,5,1,1,2
68,0,3,1,19.0,0,0,2.2146605719425225,0,4,1,1,2
69,1,3,0,17.0,4,2,2.188856327665703,0,1,7,0,1
70,0,3,1,26.0,2,0,2.2682524139135403,0,4,3,0,2
71,0,2,1,32.0,0,0,2.4423470353692043,0,4,1,1,2
72,0,3,0,16.0,5,2,3.8691155044168695,0,1,8,0,1
73,0,2,1,21.0,0,0,4.310799125385514,0,4,1,1,2
74,0,3,1,26.0,1,0,2.737880811060884,1,4,2,0,2
75,1,3,1,32.0,0,0,4.05171190165724,0,4,1,1,2
76,0,3,1,25.0,0,0,2.157559320943788,0,4,1,1,2
77,0,3,1,29.69911764705882,0,0,2.1855792552411137,0,4,1,1,2
78,0,3,1,29.69911764705882,0,0,2.2027647577118348,0,4,1,1,2
79,1,2,1,0.83,0,2,3.4011973816621555,0,0,3,0,0
80,1,3,0,30.0,0,0,2.600836116795061,0,1,1,1,2
81,0,3,1,22.0,0,0,2.302585092994046,0,4,1,1,2
82,1,3,1,29.0,0,0,2.3513752571634776,0,4,1,1,2
83,1,3,0,29.69911764705882,0,0,2.1733302571367834,2,1,1,1,2
84,0,1,1,28.0,0,0,3.8732821771117156,0,4,1,1,2
85,1,2,0,17.0,0,0,2.4423470353692043,0,1,1,1,1
86,1,3,0,33.0,3,0,2.8243506567983707,0,5,4,0,2
87,0,3,1,16.0,1,3,3.5660053559634015,0,4,5,0,1
88,0,3,1,29.69911764705882,0,0,2.2027647577118348,0,4,1,1,2
89,1,1,0,23.0,3,2,5.575949103146316,0,1,6,0,2
90,0,3,1,24.0,0,0,2.2027647577118348,0,4,1,1,2
91,0,3,1,29.0,0,0,2.2027647577118348,0,4,1,1,2
